text,label
"WhatsApp Forward: Government is giving ₹75,000 cash prize. Forward this to 5 people and pay ₹1000 refundable fee at gov-benefit-2026.com.",1
"Under the Government of India, PM Awas Yojana offers support to senior citizens. Required documents include income certificate.",0
"WhatsApp Forward: Government is giving free laptops and ₹50,000. Forward this to 5 people and pay ₹500 at apply-now.xyz.",1
"Dear bank customer, your account linked to PM Awas Yojana needs KYC update. Click free-money.online and verify with OTP.",1
Update your KYC now. Share OTP to avoid account block.,1
Congratulations! You are selected for ₹1 lakh for all citizens. Pay ₹199 processing fee at apply-now.xyz to claim your benefit.,1
"Under the State Welfare Department, Ayushman Bharat offers support to economically weaker sections. Required documents include income certificate.",0
Apply for Mahalakshmi Scheme through the official portal scheme-official.gov.in. Eligible citizens must submit Aadhaar card.,0
Beneficiaries of Ayushman Bharat can check their application status via the official website india.gov.in.,0
"Under the Government of India, PM Awas Yojana offers support to farmers. Required documents include ration card.",0
Your recent transaction for Kalyana Lakshmi failed. Please share OTP to process the refund immediately at whatsapp-rewards.com.,1
Citizens can register for Ayushman Bharat at their nearest help centre or online via pmjay.gov.in.,0
"To avail the benefits of Ayushman Bharat, please submit an application on india.gov.in before the official deadline.",0
"To avail the benefits of PM-KISAN, please submit an application on india.gov.in before the official deadline.",0
"Under the Government of India, Mahalakshmi Scheme offers support to rural women. Required documents include Aadhaar card.",0
Share OTP to process your Kalyana Lakshmi application.,1
Citizens can register for Ayushman Bharat at their nearest help centre or online via india.gov.in.,0
URGENT: PM Awas Yojana applications close today! Click gov-benefit-2026.com and pay ₹500 registration fee. Share with 10 people!,1
Your Rythu Bharosa funds are blocked! Share the 6-digit OTP sent to your mobile to verify your bank account at support-now.com.,1
"Dear bank customer, your account linked to PM Awas Yojana needs KYC update. Click whatsapp-rewards.com and verify with OTP.",1
Government announces Rythu Bharosa for farmers. Ensure ration card is updated when applying at scheme-official.gov.in.,0
Your recent transaction for PM-KISAN failed. Please share OTP to process the refund immediately at apply-now.xyz.,1
